ET_FID,X,Y,Id,HAZSITE_ID,CONTRACTOR,DOE_DIV,DSTRICT_ID,ERS_CLASS,ERS_OPRUNT,ERS_RECLAS,ERS_STAT_D,ERS_TYPE_D,SITE_NAME,SITE_NUM,SWMUFLAG,UNIT_CTGY,PHOTOS,DOE_DIV_S,RES_CONT_S,RES_PROJ,RES_PROJ_S,ERS_CL_RCL,ERS_OP_DES,MAP_AUTH,Shape_len,Lat,Long,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_STATION
62,575390.424819122,136053.250034819,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575390.42482,136053.25003,117.6655,42
63,575392.756639426,136051.383730644,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575392.75664,136051.38373,141.102,45
64,575394.519631836,136048.967991871,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575394.51963,136048.96799,151.267,48
65,575395.645137683,136046.205454515,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575395.64514,136046.20545,163.5032,51
66,575395.980280451,136043.238649148,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575395.98028,136043.23865,184.8988,54
67,575395.516324403,136040.289088056,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575395.51632,136040.28909,196.6226,57
68,575394.303353795,136037.562015846,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575394.30335,136037.56202,208.5496,60
69,575392.433162288,136035.230186627,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575392.43316,136035.23019,230.0962,63
70,575390.023937666,136033.468000088,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575390.02394,136033.468,242.6986,66
71,575387.237304223,136032.393347437,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575387.2373,136032.39335,253.6126,69
72,575322.374999999,136062.937500003,0,354,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-104; 241-A-TK-104,241-A-104,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.6969910107,575322,136074,3,575322.375,136062.9375,275.5532,0
73,575319.417390945,136063.370746894,0,354,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-104; 241-A-TK-104,241-A-104,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.6969910107,575322,136074,3,575319.41739,136063.37075,286.8579,3
