ET_FID,X,Y,Id,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,WIDS_,WIDS_ID,DXF_LAYER,CLASS,TEXT,ET_X,ET_Y,ET_ANGLE,ET_STATION,ET_ID
72,572531.786598527,137223.351241103,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572531.7866,137223.35124,151.999,216,0
73,572533.078218371,137220.651576306,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572533.07822,137220.65158,160.9664,219,0
74,572534.056572073,137217.815588993,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572534.05657,137217.81559,160.9664,222,0
75,572535.034925774,137214.979601681,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572535.03493,137214.9796,160.9664,225,0
76,572536.013279476,137212.143614369,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.01328,137212.14361,160.9664,228,0
77,572536.991633177,137209.307627057,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572536.99163,137209.30763,160.9664,231,0
78,572537.912948641,137206.454737319,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572537.91295,137206.45474,166.02,234,0
79,572538.637671936,137203.543590441,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572538.63767,137203.54359,166.02,237,0
80,572539.36239523,137200.632443562,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572539.3624,137200.63244,166.0221,240,0
81,572540.087118525,137197.721296684,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572540.08712,137197.7213,166.0219,243,0
82,572540.811841819,137194.810149806,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572540.81184,137194.81015,166.02,246,0
83,572541.536565114,137191.899002928,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572541.53657,137191.899,166.02,249,0
84,572542.261288409,137188.98785605,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.26129,137188.98786,166.0201,252,0
85,572542.381371216,137186.001801549,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572542.38137,137186.0018,179.8561,255,0
